Uqno,Psuno_seg,Taz_exp,Stratum,Metro_code,District_code,Pr_code,Geo_type
1631020610000021801,16310206100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631020610000024601,16310206100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631020610000027401,16310206100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631020810000000801,16310208100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631020810000001801,16310208100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631020810000002801,16310208100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631020810000003801,16310208100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631020810000004801,16310208100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631020810000005801,16310208100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631020810000006801,16310208100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631020810000007801,16310208100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631020810000008801,16310208100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631020810000009801,16310208100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631023210000000801,16310232100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631023210000003401,16310232100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631023210000007301,16310232100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631023210000008601,16310232100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631023210000009901,16310232100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631023210000011201,16310232100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631027610000000801,16310276100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631027610000006301,16310276100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631027610000008501,16310276100,900400,1102,01,DC01,Western Cape,Urban: Urban area
1631027610000009601,16310276100,900400,1102,01,DC01,Western Cape,Urban: Urban area
